mean_ndvi,ndvi_trend,ndvi_variance,avg_temperature_c,total_rainfall_mm,crop_health_label
0.72,0.01,0.004,24.5,128.2,HEALTHY
0.41,-0.032,0.045,32.1,8.7,HIGH_STRESS
0.52,-0.005,0.015,28.3,35.6,MODERATE_STRESS
0.68,0.008,0.009,23.8,95.4,HEALTHY
0.37,-0.041,0.048,33.8,3.2,HIGH_STRESS
0.58,0.003,0.018,26.7,52.1,MODERATE_STRESS
0.63,0.012,0.007,25.2,78.9,HEALTHY
0.48,-0.018,0.025,29.6,28.3,MODERATE_STRESS
0.29,-0.049,0.05,34.5,0.0,HIGH_STRESS
0.71,0.015,0.005,22.9,112.0,HEALTHY
0.55,0.001,0.014,27.4,45.2,MODERATE_STRESS
0.44,-0.028,0.038,31.7,12.5,HIGH_STRESS
0.66,0.009,0.011,24.1,86.7,HEALTHY
0.5,-0.012,0.021,28.9,31.8,MODERATE_STRESS
0.33,-0.045,0.047,33.2,5.1,HIGH_STRESS
0.74,0.018,0.003,21.5,135.6,HEALTHY
0.57,0.002,0.016,26.1,49.7,MODERATE_STRESS
0.39,-0.037,0.043,32.5,9.8,HIGH_STRESS
0.65,0.006,0.013,25.9,81.3,HEALTHY
0.53,-0.008,0.019,29.1,33.4,MODERATE_STRESS
0.26,-0.05,0.05,35.0,1.5,HIGH_STRESS
0.7,0.014,0.006,23.2,105.8,HEALTHY
0.59,0.004,0.017,26.4,54.9,MODERATE_STRESS
0.42,-0.03,0.04,31.0,11.0,HIGH_STRESS
0.67,0.011,0.008,24.6,92.1,HEALTHY
0.49,-0.015,0.023,30.2,26.7,MODERATE_STRESS
0.31,-0.048,0.049,34.0,4.3,HIGH_STRESS
0.73,0.017,0.002,22.1,124.3,HEALTHY
0.56,0.0,0.015,27.8,42.1,MODERATE_STRESS
0.36,-0.039,0.044,32.8,7.2,HIGH_STRESS
0.64,0.007,0.012,26.3,75.4,HEALTHY
0.51,-0.01,0.02,29.4,30.5,MODERATE_STRESS
0.35,-0.043,0.046,33.5,6.0,HIGH_STRESS
0.69,0.013,0.0065,23.6,98.7,HEALTHY
0.54,-0.003,0.0185,28.6,37.9,MODERATE_STRESS
0.4,-0.034,0.0415,31.3,10.5,HIGH_STRESS
0.81,0.022,0.001,20.8,148.9,HEALTHY
0.47,-0.02,0.026,30.5,24.0,MODERATE_STRESS
0.28,-0.05,0.05,34.8,2.1,HIGH_STRESS
0.75,0.02,0.0025,21.1,141.2,HEALTHY
0.61,0.005,0.0115,25.5,66.8,MODERATE_STRESS
0.45,-0.025,0.035,30.8,15.7,HIGH_STRESS
0.62,0.0095,0.01,25.0,72.3,HEALTHY
0.46,-0.022,0.03,31.2,18.9,MODERATE_STRESS
0.32,-0.046,0.048,33.9,4.8,HIGH_STRESS
0.77,0.021,0.0018,20.5,145.1,HEALTHY
0.6,0.0025,0.0155,26.9,48.3,MODERATE_STRESS
0.38,-0.036,0.042,32.2,8.3,HIGH_STRESS
0.71,0.016,0.0052,22.7,118.4,HEALTHY
0.52,-0.006,0.0175,29.7,32.7,MODERATE_STRESS
0.34,-0.042,0.0455,33.0,5.5,HIGH_STRESS
0.68,0.01,0.0092,24.3,89.6,HEALTHY
0.5,-0.013,0.022,30.0,27.5,MODERATE_STRESS
0.3,-0.047,0.0495,34.3,3.7,HIGH_STRESS
0.74,0.019,0.0019,21.8,130.2,HEALTHY
0.58,0.0012,0.0168,27.2,43.8,MODERATE_STRESS
0.41,-0.031,0.039,31.5,13.4,HIGH_STRESS
0.65,0.0082,0.0125,26.0,77.1,HEALTHY
0.48,-0.017,0.024,30.3,25.2,MODERATE_STRESS
0.27,-0.05,0.05,34.6,1.8,HIGH_STRESS
0.72,0.0145,0.0048,23.0,115.7,HEALTHY
0.57,-0.001,0.0192,28.1,38.5,MODERATE_STRESS
0.37,-0.038,0.0438,32.7,6.9,HIGH_STRESS
0.63,0.0115,0.0078,25.3,84.2,HEALTHY
0.49,-0.014,0.0218,29.9,29.1,MODERATE_STRESS
0.33,-0.044,0.0472,33.3,5.8,HIGH_STRESS
0.76,0.023,0.0012,19.8,150.0,HEALTHY
0.59,0.0035,0.0142,27.0,51.4,MODERATE_STRESS
